home_team,away_team,week,season,pred_home_win,actual_home_win,book_home_ml_odds,book_away_ml_odds,book_home_spread,book_home_spread_odds,book_away_spread,book_away_spread_odds,pred_home_spread,actual_home_spread,pred_home_cover,actual_home_cover,spread_correct,spread_winnings,ml_correct,ml_winnings,naive_spread_winnings,naive_ml_winnings,pred_vs_book_spread
Georgia State,Air Force,3,2014,0,0,NA,NA,NA,NA,NA,NA,2.58,10,NA,NA,NA,NA,1,NA,NA,NA,NA
San Diego State,Air Force,13,2014,0,1,NA,NA,NA,NA,NA,NA,6.29,-16,NA,NA,NA,NA,0,0,NA,NA,NA
Navy,Air Force,5,2015,1,1,NA,NA,NA,NA,NA,NA,-11.16,-22,NA,NA,NA,NA,1,NA,NA,NA,NA
Wyoming,Air Force,6,2016,0,1,425,-540,13,-106,-13,-110,5.19,-9,0,0,1,1.90909090909091,0,0,0.954545454545455,0,7.81
New Mexico,Air Force,5,2017,1,1,130,-150,3,-110,-3,-110,-1.62,-18,0,0,1,1.90909090909091,1,2.3,0.954545454545455,0,4.62
San Diego State,Air Force,7,2018,1,1,-380,303,-11,-110,11,-110,-1.96,-4,1,1,1,1.90909090909091,1,1.26315789473684,0.954545454545455,1.26315789473684,9.04
Army,Air Force,10,2018,1,1,-205,175,-4.5,-110,4.5,-110,-10.93,-3,0,1,0,0,1,1.48780487804878,0.954545454545455,1.48780487804878,6.43
Colorado,Air Force,3,2019,0,0,-160,135,-3,-110,3,-106,5.25,7,1,1,1,1.90909090909091,1,2.35,0.954545454545455,0,8.25
Boise State,Air Force,4,2019,1,1,-312,247,-7.5,-110,7.5,-109,-1.29,-11,1,0,0,0,1,1.32051282051282,0.958715596330275,1.32051282051282,6.21
New Mexico,Air Force,13,2019,0,0,1162,-2500,24.5,-110,-24.5,-110,16.34,22,0,0,1,1.90909090909091,1,1.04,0.954545454545455,1.04,8.16
Utah State,Air Force,14,2020,0,0,385,-515,13.5,-110,-13.5,-110,10.25,28,0,1,0,0,1,1.19417475728155,0.954545454545455,1.19417475728155,3.25
Navy,Air Force,2,2021,0,0,190,-235,6,-110,-6,-115,16.2,20,1,1,1,1.90909090909091,1,1.42553191489362,0.954545454545455,1.42553191489362,10.2
Army,Air Force,10,2022,1,0,215,-275,7,-108,-7,-112,-0.28,6,0,0,1,1.89285714285714,0,0,0.946428571428571,1.36363636363636,7.28
San Diego State,Air Force,13,2022,0,0,108,-130,2,-110,-2,-110,3.63,10,1,1,1,1.90909090909091,1,1.76923076923077,0.954545454545455,1.76923076923077,1.63
Penn State,Akron,2,2014,1,1,NA,NA,NA,NA,NA,NA,-8.23,-18,NA,NA,NA,NA,1,NA,NA,NA,NA
Buffalo,Akron,12,2014,0,1,NA,NA,NA,NA,NA,NA,5.45,-31,NA,NA,NA,NA,0,0,NA,NA,NA
Kent State,Akron,14,2014,0,1,NA,NA,NA,NA,NA,NA,7.36,-3,NA,NA,NA,NA,0,0,NA,NA,NA
Bowling Green,Akron,7,2015,1,1,NA,NA,NA,NA,NA,NA,-5.93,-49,NA,NA,NA,NA,1,NA,NA,NA,NA
Kent State,Akron,5,2016,0,0,310,-380,8.5,-110,-8.5,-105,7.39,4,0,0,1,1.95238095238095,1,1.26315789473684,0.976190476190476,1.26315789473684,1.11
Buffalo,Akron,9,2016,0,1,765,-1130,19.5,-110,-19.5,-110,8.66,-21,0,0,1,1.90909090909091,0,0,0.954545454545455,0,10.84
Western Michigan,Akron,7,2017,1,0,-495,370,-12.5,-110,12.5,-110,-13.04,1,0,1,0,0,0,0,0.954545454545455,0,0.539999999999999
Toledo,Akron,8,2017,1,1,-700,500,-15,-110,15,-110,-6.72,-27,1,0,0,0,1,1.14285714285714,0.954545454545455,1.14285714285714,8.28
Miami (OH),Akron,11,2017,1,1,-450,350,-11,-110,11,-110,-2.7,-10,1,1,1,1.90909090909091,1,1.22222222222222,0.954545454545455,1.22222222222222,8.3
Northwestern,Akron,3,2018,0,0,-1500,876,-21,-110,21,-110,2.5,5,1,1,1,1.90909090909091,1,9.76,0.954545454545455,0,23.5
Buffalo,Akron,7,2018,1,1,-420,330,-11,-110,11,-110,-13.19,-18,0,0,1,1.90909090909091,1,1.23809523809524,0.954545454545455,1.23809523809524,2.19
Eastern Michigan,Akron,11,2018,1,1,-450,350,-12,-110,12,-110,-4.28,-20,1,0,0,0,1,1.22222222222222,0.954545454545455,1.22222222222222,7.72
Buffalo,Akron,15,2020,1,1,-8000,1800,-33,-115,33,-105,-24.51,-49,1,0,0,0,1,1.0125,0.976190476190476,1.0125,8.49
Ohio State,Akron,4,2021,1,1,NA,NA,NA,NA,NA,NA,-22.87,-52,NA,NA,NA,NA,1,NA,NA,NA,NA
Tennessee,Akron,3,2022,1,1,-1e+05,8000,-47.5,-110,47.5,-110,-32.08,-57,1,0,0,0,1,1.001,0.954545454545455,1.001,15.42
Bowling Green,Akron,8,2023,1,1,-305,240,-7.5,-110,7.5,-110,-8.17,-27,0,0,1,1.90909090909091,1,1.32786885245902,0.954545454545455,1.32786885245902,0.67
Ohio,Akron,5,2024,1,1,-325,260,-8.5,-110,8.5,-110,-14.79,-20,0,0,1,1.90909090909091,1,1.30769230769231,0.954545454545455,1.30769230769231,6.29
Tennessee,Alabama,9,2014,0,0,NA,NA,NA,NA,NA,NA,9.05,14,NA,NA,NA,NA,1,NA,NA,NA,NA
LSU,Alabama,11,2014,0,0,NA,NA,NA,NA,NA,NA,0.73,7,NA,NA,NA,NA,1,NA,NA,NA,NA
Missouri,Alabama,15,2014,0,0,NA,NA,NA,NA,NA,NA,2.8,29,NA,NA,NA,NA,1,NA,NA,NA,NA
Texas A&M,Alabama,7,2015,0,0,NA,NA,NA,NA,NA,NA,1.92,18,NA,NA,NA,NA,1,NA,NA,NA,NA
Tennessee,Alabama,7,2016,0,0,450,-550,13.5,-105,-13.5,-109,12.17,39,0,1,0,0,1,1.18181818181818,0.976190476190476,1.18181818181818,1.33
Auburn,Alabama,13,2017,1,1,180,-220,5,-110,-5,-110,-3.65,-12,0,0,1,1.90909090909091,1,2.8,0.954545454545455,0,8.65
Arkansas,Alabama,6,2018,0,0,1350,-2300,34.5,-110,-34.5,-110,21.24,34,0,0,1,1.90909090909091,1,1.04347826086957,0.954545454545455,1.04347826086957,13.26
LSU,Alabama,10,2018,0,0,440,-565,13.5,-110,-13.5,-110,8.62,29,0,1,0,0,1,1.17699115044248,0.954545454545455,1.17699115044248,4.88
South Carolina,Alabama,3,2019,0,0,2000,-5000,26.5,-110,-26.5,-110,10.12,24,0,0,1,1.90909090909091,1,1.02,0.954545454545455,1.02,16.38
Auburn,Alabama,14,2019,0,1,150,-180,3.5,-110,-3.5,-110,1.38,-3,0,0,1,1.90909090909091,0,0,0.954545454545455,0,2.12
